date,performance,accessibility,best_practices,seo
2026-08-22,51.25,93.88,90.25,87.38
2026-08-23,39.6,95.4,86,88.8
2026-08-24,47.2,95.4,86,88.8
2026-08-25,52,94.2,92.6,89.9
2026-08-26,54.88,94,91.25,88.38
2026-08-27,47.86,94.43,90.57,88.86
2026-08-28,56.37,92.05,91.65,86.19
2026-08-29,61.38,90.08,92.77,88.62
2026-08-30,57.5,94,94,84
2026-08-31,52.65,91.9,91.52,86.49
2026-09-01,60.06,91.11,90.28,88.22
2026-09-02,85,91,100,85
2026-09-03,46.8,95.4,86,88.8
2026-09-04,50,94.17,89,87
2026-09-05,55.28,91.33,91.46,85.93
2026-09-06,52.93,91.73,91.84,86.31
2026-09-07,38,95.4,86,88.8
2026-09-08,54.81,91.06,90.75,89.81
2026-09-09,51.5,95,89,87
2026-09-10,49.55,92.23,91.51,85.87
2026-09-11,61.06,91.41,91.06,89.94
2026-09-12,0,0,0,0
2026-09-13,50.52,91.92,91.25,86.42
2026-09-14,52.67,90.4,90.67,90.33
2026-09-15,46.68,92.24,91.42,87.18
2026-09-16,62.19,89.44,93.63,87.5
2026-09-17,48.03,92.53,91,85.91
2026-09-18,56.47,89.73,93.2,86.67
2026-09-19,57.75,92.5,96,84.5
2026-09-20,58.18,89.09,92.18,91.27
2026-09-21,0,0,0,0
