date,performance,accessibility,best_practices,seo
2026-05-04,57.58,90.83,89.92,90.92
2026-05-05,58.67,91.83,91.78,89.72
2026-05-06,54,93,97.33,84.33
2026-05-07,58.62,89.88,89.32,87.94
2026-05-08,55.98,92.46,90.52,87.42
2026-05-09,53.5,94.17,92.83,87
2026-05-10,53.56,92.36,90.11,87.83
2026-05-11,57.45,93.05,92.35,90.2
2026-05-12,67,91,100,85
2026-05-13,40.5,95.5,91.5,89.33
2026-05-14,49.2,95.4,90.6,88.8
2026-05-15,53.32,92.47,90.03,87.69
2026-05-16,58.55,89.74,88,88.76
2026-05-17,59.88,94.5,91.25,87.38
2026-05-18,54.63,93.36,89.9,88.47
2026-05-19,60.56,91,91.44,90.38
2026-05-20,58.88,91.29,89.26,89.76
2026-05-21,62.06,90.44,90.25,89.94
2026-05-22,59,94.5,91.25,87.38
2026-05-23,50.33,95.33,88.33,89.67
2026-05-24,54.84,92.6,90.45,86.99
2026-05-25,56.7,92.27,90.98,86.68
2026-05-26,0,0,0,0
2026-05-27,67,91,100,85
2026-05-28,58.84,90.88,89.72,89.6
2026-05-29,67,91,100,85
2026-05-30,55.36,92.08,90.67,88.13
2026-05-31,55.05,91.87,90.75,86.45
2026-06-01,52.33,95.33,80.67,89.67
2026-06-02,59.46,91.64,90.54,88.57
2026-06-03,0,0,0,0
