date,performance,accessibility,best_practices,seo
2026-06-24,59.67,94,91.33,85.89
2026-06-25,58.72,90.39,90.28,89.56
2026-06-26,56.55,92.63,90.78,87.87
2026-06-27,54.4,93.47,90.5,86.24
2026-06-28,57.33,94.67,87.67,83.83
2026-06-29,55,94,91.33,85.89
2026-06-30,48.33,95.33,82,89.67
2026-07-01,58,93.29,91.14,84.29
2026-07-02,51.53,92.74,90.83,85.67
2026-07-03,68,91,100,85
2026-07-04,56.29,93.71,90.57,86.71
2026-07-05,59.89,88.67,90.89,91.33
2026-07-06,62.09,92.09,90.45,90.36
2026-07-07,59.24,93.47,94.06,90.47
2026-07-08,50,95.33,82,89.67
2026-07-09,57.76,91.95,90.89,89
2026-07-10,82,91,100,85
2026-07-11,63.29,89.42,89.1,88.39
2026-07-12,63.4,88.7,91.8,91.3
2026-07-13,59.46,91.08,89.54,90.92
2026-07-14,61.78,92.82,90.51,86.65
2026-07-15,53.37,92.63,90.84,86.78
2026-07-16,52.86,93.71,90.57,86.71
2026-07-17,55.15,92.8,90.73,86.91
2026-07-18,56.13,94,91.75,88.38
2026-07-19,56.02,91.95,90.1,86.39
2026-07-20,53.14,93.71,90.57,86.71
2026-07-21,56.43,92.06,90.69,87.23
2026-07-22,49,95.33,82,89.67
2026-07-23,56.88,94,91.75,88.38
2026-07-24,0,0,0,0
