date,performance,accessibility,best_practices,seo
2026-05-18,54.63,93.36,89.9,88.47
2026-05-19,60.56,91,91.44,90.38
2026-05-20,58.88,91.29,89.26,89.76
2026-05-21,62.06,90.44,90.25,89.94
2026-05-22,59,94.5,91.25,87.38
2026-05-23,50.33,95.33,88.33,89.67
2026-05-24,54.84,92.6,90.45,86.99
2026-05-25,56.7,92.27,90.98,86.68
2026-05-26,0,0,0,0
2026-05-27,67,91,100,85
2026-05-28,58.84,90.88,89.72,89.6
2026-05-29,67,91,100,85
2026-05-30,55.36,92.08,90.67,88.13
2026-05-31,55.05,91.87,90.75,86.45
2026-06-01,52.33,95.33,80.67,89.67
2026-06-02,59.46,91.64,90.54,88.57
2026-06-03,54,95.33,80.67,89.67
2026-06-04,53.1,92.44,90.75,85.75
2026-06-05,68,91,100,85
2026-06-06,43,95.5,87.67,89.33
2026-06-07,59.33,95.33,80.67,89.67
2026-06-08,54.96,92.8,89.68,88.11
2026-06-09,57.4,90.92,89.72,87.8
2026-06-10,47.33,95.33,80.67,89.67
2026-06-11,58.73,91.13,89.6,90.93
2026-06-12,53.39,92.49,90.4,86.93
2026-06-13,55.97,91.73,90.03,88.16
2026-06-14,55.82,92.35,90.15,87.84
2026-06-15,55,94,91.25,88.38
2026-06-16,52.97,92.58,90.74,85.8
2026-06-17,0,0,0,0
