date,performance,accessibility,best_practices,seo
2026-04-19,51.82,90.27,89.36,90.82
2026-04-20,58.5,92.17,93.83,91.5
2026-04-21,52.93,91.63,91.3,86.65
2026-04-22,60.92,86.38,90.08,88.46
2026-04-23,61.83,88.67,90.5,86.83
2026-04-24,52.14,94.14,92.14,84
2026-04-25,55.14,93.71,93.29,86.71
2026-04-26,54.83,91.8,89.69,87.86
2026-04-27,56.08,91.72,91.16,86.17
2026-04-28,60.8,89.55,92.2,88.25
2026-04-29,58.96,88.33,89.13,88.63
2026-04-30,58.37,89.3,89.89,88.19
2026-05-01,56.24,91.97,89.77,87.13
2026-05-02,52.76,91.97,91,85.69
2026-05-03,55.27,90.73,89.36,90.82
2026-05-04,57.58,90.83,89.92,90.92
2026-05-05,58.67,91.83,91.78,89.72
2026-05-06,54,93,97.33,84.33
2026-05-07,58.62,89.88,89.32,87.94
2026-05-08,55.98,92.46,90.52,87.42
2026-05-09,53.5,94.17,92.83,87
2026-05-10,53.56,92.36,90.11,87.83
2026-05-11,57.45,93.05,92.35,90.2
2026-05-12,67,91,100,85
2026-05-13,40.5,95.5,91.5,89.33
2026-05-14,49.2,95.4,90.6,88.8
2026-05-15,53.32,92.47,90.03,87.69
2026-05-16,58.55,89.74,88,88.76
2026-05-17,59.88,94.5,91.25,87.38
2026-05-18,54.63,93.36,89.9,88.47
2026-05-19,0,0,0,0
